;;2018;2019;
Kategorien;Ausland;284;8;
;Politik;210;;
;Deutschland;196;;
;Berlin;51;;
;Unterhaltung;458;;
;Promis;212;;
;Wissen;38;;
;Gesellschaft;220;;
;Sport;51;;
;Fussball;24;;
;;;;
;;;;
;;;;
Themen;Polizei;76;;
;Justiz;34;;
;;;;
;;;;
;;;;
Personen;Donald Trump;36;;
;Angela Merkel;24;;
;Rainer Kallmund;7;;
